2026-07-15 06:07:40 | WARNING | analysis.claude_strength:calculate_strength_with_claude:305 | Claude level not matched | {'symbol': 'AKEUSDT', 'level_price': 0.00030514, 'claude_prices': [0.00035, 0.00032, 0.00031]}
2026-07-15 06:13:52 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 10, 'block_threshold': 4}
2026-07-15 06:14:08 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 10, 'block_threshold': 4}
2026-07-15 06:14:23 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 10, 'block_threshold': 4}
2026-07-15 06:14:38 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 10, 'block_threshold': 4}
2026-07-15 06:14:53 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 10, 'block_threshold': 4}
2026-07-15 06:15:09 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 10, 'block_threshold': 4}
2026-07-15 06:15:24 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 10, 'block_threshold': 4}
2026-07-15 06:15:39 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 10, 'block_threshold': 4}
2026-07-15 06:15:49 | INFO | __main__:_proximity_loop:1381 | Weak level touch resolved | {'symbol': 'DODOXUSDT', 'level': 0.026417, 'event': 'zakol', 'fill_depth': 0.923647651133744}
2026-07-15 06:16:25 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 10, 'block_threshold': 4}
2026-07-15 06:16:40 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 10, 'block_threshold': 4}
2026-07-15 06:16:55 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 10, 'block_threshold': 4}
2026-07-15 06:17:11 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 10, 'block_threshold': 4}
2026-07-15 06:17:26 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 11, 'block_threshold': 4}
2026-07-15 06:17:30 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'BSBUSDT', 'level': 0.12567, 'type': 'pump_base', 'strength': 5, 'dist_atr': 3.72}
2026-07-15 06:17:30 | INFO | __main__:_run_phase1:414 | Pump degraded, skipping monitoring | {'symbol': 'BSBUSDT', 'health': 40, 'broken': 0, 'correction': '171%'}
2026-07-15 06:17:41 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 13, 'block_threshold': 4}
2026-07-15 06:17:44 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 1, 'new': 0}
2026-07-15 06:17:50 | INFO | trading.strategy2_live:_sync_grid_fills:1629 | S2Live: grid order filled | {'trade_id': 'd4a91ff0-39e1-4830-92e6-fce59111eb40', 'symbol': 'BILLUSDT', 'index': 1, 'fill_price': 0.03823}
2026-07-15 06:17:50 | INFO | trading.strategy2_live:_sync_grid_fills:1629 | S2Live: grid order filled | {'trade_id': 'd4a91ff0-39e1-4830-92e6-fce59111eb40', 'symbol': 'BILLUSDT', 'index': 2, 'fill_price': 0.03773}
2026-07-15 06:17:50 | INFO | trading.strategy2_live:_reconcile_one:1468 | S2Live reconcile: synced | {'trade_id': 'd4a91ff0-39e1-4830-92e6-fce59111eb40', 'symbol': 'BILLUSDT', 'updates': {'bybit_position_qty': 2650.0}}
2026-07-15 06:17:56 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 13, 'block_threshold': 4}
2026-07-15 06:18:11 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 12, 'block_threshold': 4}
2026-07-15 06:18:27 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 13, 'block_threshold': 4}
2026-07-15 06:18:42 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 13, 'block_threshold': 4}
2026-07-15 06:18:57 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 13, 'block_threshold': 4}
2026-07-15 06:19:12 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 13, 'block_threshold': 4}
2026-07-15 06:19:28 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 13, 'block_threshold': 4}
2026-07-15 06:19:43 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 12, 'block_threshold': 4}
2026-07-15 06:19:58 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 12, 'block_threshold': 4}
2026-07-15 06:20:13 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 12, 'block_threshold': 4}
2026-07-15 06:20:29 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 12, 'block_threshold': 4}
2026-07-15 06:20:44 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 13, 'block_threshold': 4}
2026-07-15 06:20:59 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 13, 'block_threshold': 4}
2026-07-15 06:21:14 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 12, 'block_threshold': 4}
2026-07-15 06:21:30 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 12, 'block_threshold': 4}
2026-07-15 06:21:45 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 13, 'block_threshold': 4}
2026-07-15 06:22:00 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 13, 'block_threshold': 4}
2026-07-15 06:22:00 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'TRIAUSDT', 'level': 0.00837, 'type': 'pump_base', 'strength': 5, 'dist_atr': 3.71}
2026-07-15 06:22:00 | INFO | __main__:_run_phase1:414 | Pump degraded, skipping monitoring | {'symbol': 'TRIAUSDT', 'health': 40, 'broken': 0, 'correction': '114%'}
2026-07-15 06:22:15 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 12, 'block_threshold': 4}
2026-07-15 06:22:30 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 13, 'block_threshold': 4}
2026-07-15 06:22:46 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 13, 'block_threshold': 4}
2026-07-15 06:23:00 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'EVAAUSDT', 'level': 0.9463, 'type': 'pump_base', 'strength': 5, 'dist_atr': 1.07}
2026-07-15 06:23:00 | INFO | __main__:_run_phase1:414 | Pump degraded, skipping monitoring | {'symbol': 'EVAAUSDT', 'health': 40, 'broken': 0, 'correction': '135%'}
2026-07-15 06:23:01 | INFO | __main__:_proximity_loop:1381 | Weak level touch resolved | {'symbol': 'DODOXUSDT', 'level': 0.026233, 'event': 'bounce', 'fill_depth': 0.0}
2026-07-15 06:23:01 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 13, 'block_threshold': 4}
2026-07-15 06:23:16 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 12, 'block_threshold': 4}
2026-07-15 06:23:31 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 12, 'block_threshold': 4}
2026-07-15 06:23:47 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 13, 'block_threshold': 4}
2026-07-15 06:24:02 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 13, 'block_threshold': 4}
2026-07-15 06:24:07 | INFO | trading.strategy2_live:_partial_close_tp1:2347 | S2Live: partial TP1 — 50% closed, trailing remainder | {'trade_id': 'd4a91ff0-39e1-4830-92e6-fce59111eb40', 'symbol': 'BILLUSDT', 'closed_qty': 1320.0, 'remainder': 1330.0, 'order_id': 'd177f3ba-85f4-44f6-9740-96c8dbce0a99'}
2026-07-15 06:24:07 | INFO | trading.strategy2_live:_check_tp_trailing:2436 | S2Live: TP1 hit — trailing activated | {'trade_id': 'd4a91ff0-39e1-4830-92e6-fce59111eb40', 'symbol': 'BILLUSDT', 'peak': 0.03849, 'trailing_stop': 0.03829}
2026-07-15 06:24:17 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 13, 'block_threshold': 4}
2026-07-15 06:24:32 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 13, 'block_threshold': 4}
2026-07-15 06:24:48 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 13, 'block_threshold': 4}
2026-07-15 06:25:03 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 13, 'block_threshold': 4}
2026-07-15 06:25:18 | INFO | trading.strategy2_live:_check_tp_trailing:2461 | S2Live: trailing stop hit | {'trade_id': 'd4a91ff0-39e1-4830-92e6-fce59111eb40', 'symbol': 'BILLUSDT', 'trailing_stop': 0.03842, 'current_price': 0.03838}
2026-07-15 06:25:18 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 13, 'block_threshold': 4}
2026-07-15 06:25:18 | WARNING | trading.bybit_client:cancel_order:247 | bybit cancel_order unexpected response | {'symbol': 'BILLUSDT', 'order_id': '96591da2-b8bf-49aa-b96d-1eeface9df6d', 'resp': {'retCode': 110001, 'retMsg': 'order not exists or too late to cancel', 'result': {}, 'retExtInfo': {}, 'time': 1784096718609}}
2026-07-15 06:25:19 | INFO | trading.strategy2_live:_limit_then_market_sell:909 | S2Live[H1]: limit close placed | {'trade_id': 'd4a91ff0-39e1-4830-92e6-fce59111eb40', 'symbol': 'BILLUSDT', 'attempt': 1, 'price': 0.03846, 'qty': 1330.0, 'reason': 'trailing_stop'}
2026-07-15 06:25:21 | WARNING | trading.bybit_client:cancel_order:247 | bybit cancel_order unexpected response | {'symbol': 'BILLUSDT', 'order_id': 'a61141b5-79da-4b3f-bb42-0b0992aa107a', 'resp': {'retCode': 110001, 'retMsg': 'order not exists or too late to cancel', 'result': {}, 'retExtInfo': {}, 'time': 1784096721847}}
2026-07-15 06:25:25 | INFO | bot.telegram:send_close_with_chart:1480 | chart candles available: BILLUSDT 300 | {}
2026-07-15 06:25:30 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'VELVETUSDT', 'level': 0.5281, 'type': 'pump_base', 'strength': 5, 'dist_atr': 1.96}
2026-07-15 06:25:30 | INFO | __main__:_run_phase1:414 | Pump degraded, skipping monitoring | {'symbol': 'VELVETUSDT', 'health': 45, 'broken': 0, 'correction': '62%'}
2026-07-15 06:25:33 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 13, 'block_threshold': 4}
2026-07-15 06:25:48 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'approach_count': 13, 'block_threshold': 4}
2026-07-15 06:26:45 | INFO | __main__:_monitored:787 | Level outcome saved | {'symbol': 'DODOXUSDT', 'level': 0.026086, 'result': 'пробой', 'outcome': 'breakout', 'duration': 3325.3}
2026-07-15 06:26:45 | INFO | __main__:_start_next_level_after_breakout:933 | Next level from cache started | {'symbol': 'DODOXUSDT', 'level': 0.0231}
2026-07-15 06:27:47 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 1, 'new': 0}
2026-07-15 06:28:30 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'LABUSDT', 'level': 0.2264, 'type': 'pump_base', 'strength': 5, 'dist_atr': 1.15}
2026-07-15 06:28:30 | INFO | __main__:_run_phase1:414 | Pump degraded, skipping monitoring | {'symbol': 'LABUSDT', 'health': 40, 'broken': 0, 'correction': '346%'}
2026-07-15 06:30:38 | INFO | __main__:_trigger_loop:357 | Trigger activated | {'symbol': 'EVAAUSDT'}
2026-07-15 06:30:38 | INFO | __main__:_run_phase1:414 | Pump degraded, skipping monitoring | {'symbol': 'EVAAUSDT', 'health': 40, 'broken': 0, 'correction': '141%'}
2026-07-15 06:37:51 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 1, 'new': 0}
2026-07-15 06:40:01 | INFO | __main__:_stale_monitor_loop:1179 | Stale monitor cancelled — rebuilding | {'symbol': 'DODOXUSDT', 'level': 0.0231, 'current': 0.025746, 'distance_pct': 10.3}
2026-07-15 06:40:01 | INFO | __main__:_monitored:798 | Monitor cancelled | {'symbol': 'DODOXUSDT', 'level': 0.0231}
2026-07-15 06:42:10 | WARNING | data.collector:_update:77 | Failed to update candles for %s | {}
2026-07-15 06:47:31 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'AKEUSDT', 'level': 0.0003825, 'type': 'pump_base', 'strength': 4, 'dist_atr': 1.32}
2026-07-15 06:47:31 | INFO | __main__:_run_phase1:652 | Level monitoring started | {'symbol': 'AKEUSDT', 'level': 0.00037243, 'strength': 5}
2026-07-15 06:47:54 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 2, 'new': 0}
2026-07-15 06:50:01 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'BSBUSDT', 'level': 0.12567, 'type': 'pump_base', 'strength': 5, 'dist_atr': 1.09}
2026-07-15 06:50:01 | INFO | __main__:_run_phase1:414 | Pump degraded, skipping monitoring | {'symbol': 'BSBUSDT', 'health': 40, 'broken': 0, 'correction': '181%'}
2026-07-15 06:53:31 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'TRIAUSDT', 'level': 0.00837, 'type': 'pump_base', 'strength': 5, 'dist_atr': 1.03}
2026-07-15 06:53:31 | INFO | __main__:_run_phase1:414 | Pump degraded, skipping monitoring | {'symbol': 'TRIAUSDT', 'health': 40, 'broken': 0, 'correction': '122%'}
2026-07-15 06:55:01 | INFO | __main__:_stale_monitor_loop:1179 | Stale monitor cancelled — rebuilding | {'symbol': 'AKEUSDT', 'level': 0.00037243, 'current': 0.0004191, 'distance_pct': 11.1}
2026-07-15 06:55:01 | INFO | __main__:_monitored:798 | Monitor cancelled | {'symbol': 'AKEUSDT', 'level': 0.00037243}
2026-07-15 06:55:02 | INFO | __main__:_run_phase1:652 | Level monitoring started | {'symbol': 'AKEUSDT', 'level': 0.0003825, 'strength': 5}
2026-07-15 06:55:25 | INFO | trading.live_price_tracker:_save_post_exit_range:226 | live_post_exit_tracker saved | {'trade_id': 'd4a91ff0-39e1-4830-92e6-fce59111eb40', 'high': 0.03862, 'low': 0.03641}
2026-07-15 06:55:32 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'VELVETUSDT', 'level': 0.5073, 'type': 'pump_base', 'strength': 5, 'dist_atr': 3.83}
2026-07-15 06:55:32 | INFO | __main__:_run_phase1:414 | Pump degraded, skipping monitoring | {'symbol': 'VELVETUSDT', 'health': 25, 'broken': 0, 'correction': '94%'}
2026-07-15 06:57:32 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'EVAAUSDT', 'level': 0.9463, 'type': 'pump_base', 'strength': 5, 'dist_atr': 1.54}
2026-07-15 06:57:32 | INFO | __main__:_run_phase1:414 | Pump degraded, skipping monitoring | {'symbol': 'EVAAUSDT', 'health': 40, 'broken': 0, 'correction': '134%'}
2026-07-15 06:57:58 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 2, 'new': 0}
2026-07-15 07:00:01 | INFO | __main__:_stale_monitor_loop:1179 | Stale monitor cancelled — rebuilding | {'symbol': 'AKEUSDT', 'level': 0.0003825, 'current': 0.0004268, 'distance_pct': 10.4}
2026-07-15 07:00:01 | INFO | __main__:_monitored:798 | Monitor cancelled | {'symbol': 'AKEUSDT', 'level': 0.0003825}
2026-07-15 07:00:02 | INFO | __main__:_run_phase1:601 | Level broken in recent candles, skipping monitor | {'symbol': 'AKEUSDT', 'level': 0.0004044, 'close_below': 13}
2026-07-15 07:03:32 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'LABUSDT', 'level': 0.2264, 'type': 'pump_base', 'strength': 5, 'dist_atr': 1.68}
2026-07-15 07:03:32 | INFO | __main__:_run_phase1:414 | Pump degraded, skipping monitoring | {'symbol': 'LABUSDT', 'health': 40, 'broken': 0, 'correction': '148%'}
2026-07-15 07:07:12 | INFO | __main__:_trigger_loop:357 | Trigger activated | {'symbol': 'LABUSDT'}
2026-07-15 07:07:12 | INFO | __main__:_run_phase1:414 | Pump degraded, skipping monitoring | {'symbol': 'LABUSDT', 'health': 40, 'broken': 0, 'correction': '125%'}
2026-07-15 07:08:02 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 2, 'new': 0}
2026-07-15 07:10:19 | INFO | __main__:_trigger_loop:357 | Trigger activated | {'symbol': 'AKEUSDT'}
2026-07-15 07:10:20 | INFO | __main__:_run_phase1:652 | Level monitoring started | {'symbol': 'AKEUSDT', 'level': 0.00039283, 'strength': 3}
2026-07-15 07:15:02 | INFO | __main__:_stale_monitor_loop:1179 | Stale monitor cancelled — rebuilding | {'symbol': 'AKEUSDT', 'level': 0.00039283, 'current': 0.0004763, 'distance_pct': 17.5}
2026-07-15 07:15:02 | INFO | __main__:_monitored:798 | Monitor cancelled | {'symbol': 'AKEUSDT', 'level': 0.00039283}
2026-07-15 07:15:02 | INFO | __main__:_run_phase1:652 | Level monitoring started | {'symbol': 'AKEUSDT', 'level': 0.00039421, 'strength': 3}
2026-07-15 07:15:09 | INFO | __main__:_trigger_loop:357 | Trigger activated | {'symbol': 'DODOXUSDT'}
2026-07-15 07:15:09 | INFO | __main__:_run_phase1:652 | Level monitoring started | {'symbol': 'DODOXUSDT', 'level': 0.023568, 'strength': 5}
2026-07-15 07:18:05 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 2, 'new': 0}
2026-07-15 07:20:02 | INFO | __main__:_stale_monitor_loop:1179 | Stale monitor cancelled — rebuilding | {'symbol': 'AKEUSDT', 'level': 0.00039421, 'current': 0.0004927, 'distance_pct': 20.0}
2026-07-15 07:20:02 | INFO | __main__:_monitored:798 | Monitor cancelled | {'symbol': 'AKEUSDT', 'level': 0.00039421}
2026-07-15 07:20:02 | INFO | __main__:_run_phase1:601 | Level broken in recent candles, skipping monitor | {'symbol': 'AKEUSDT', 'level': 0.00046095, 'close_below': 21}
2026-07-15 07:20:33 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'BSBUSDT', 'level': 0.1229, 'type': 'pump_base', 'strength': 5, 'dist_atr': 2.78}
2026-07-15 07:20:33 | INFO | __main__:_run_phase1:414 | Pump degraded, skipping monitoring | {'symbol': 'BSBUSDT', 'health': 40, 'broken': 0, 'correction': '190%'}
2026-07-15 07:23:33 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'TRIAUSDT', 'level': 0.00837, 'type': 'pump_base', 'strength': 5, 'dist_atr': 3.5}
2026-07-15 07:23:33 | INFO | __main__:_run_phase1:414 | Pump degraded, skipping monitoring | {'symbol': 'TRIAUSDT', 'health': 40, 'broken': 0, 'correction': '116%'}
2026-07-15 07:28:08 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 1, 'new': 0}
2026-07-15 07:34:03 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'LABUSDT', 'level': 0.2311, 'type': 'pump_base', 'strength': 5, 'dist_atr': 1.2}
2026-07-15 07:34:03 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'VELVETUSDT', 'level': 0.5105, 'type': 'pump_base', 'strength': 5, 'dist_atr': 1.62}
2026-07-15 07:34:03 | INFO | __main__:_run_phase1:414 | Pump degraded, skipping monitoring | {'symbol': 'LABUSDT', 'health': 40, 'broken': 0, 'correction': '131%'}
